date,scores,date
2017-11-15,"-0,5181",2017-11-15
2017-11-16,"-1,2128999999999999",2017-11-16
2017-11-17,"0,2759",2017-11-17
2017-11-18,"0,1124",2017-11-18
2017-11-19,"0,08800000000000002",2017-11-19
2017-11-20,"0,0",2017-11-20
2017-11-21,"1,0379",2017-11-21
2017-11-22,"0,0",2017-11-22
2017-11-23,"-1,348",2017-11-23
2017-11-24,"-0,5267",2017-11-24
2017-11-25,"-0,21649999999999997",2017-11-25
2017-11-26,"-0,4466",2017-11-26
2017-11-27,"-0,6696",2017-11-27
2017-11-28,"-0,3612",2017-11-28
2017-11-29,"0,0",2017-11-29
2017-11-30,"0,4087",2017-11-30
2017-12-01,"-0,17049999999999998",2017-12-01
2017-12-02,"0,0",2017-12-02
2017-12-03,"0,0",2017-12-03
2017-12-04,"0,34",2017-12-04
2017-12-05,"0,0",2017-12-05
2017-12-06,"-0,8879999999999999",2017-12-06
2017-12-07,"-1,1494",2017-12-07
2017-12-08,"0,008400000000000074",2017-12-08
2017-12-09,"0,34090000000000004",2017-12-09
2017-12-10,"-0,9726999999999999",2017-12-10
2017-12-11,"0,0",2017-12-11
2017-12-13,"-0,7745",2017-12-13
2017-12-14,"-0,8762000000000001",2017-12-14
2017-12-15,"-0,592",2017-12-15
2017-12-16,"-0,5423",2017-12-16
2017-12-17,"-0,802",2017-12-17
2017-12-18,"-0,296",2017-12-18
2017-12-19,"0,0",2017-12-19
2017-12-20,"-0,9323",2017-12-20
2017-12-21,"0,5078",2017-12-21
2017-12-22,"-0,24439999999999998",2017-12-22
2017-12-23,"-1,4932",2017-12-23
2017-12-24,"0,5859",2017-12-24
2017-12-25,"0,4588",2017-12-25
2017-12-26,"-0,1779",2017-12-26
2017-12-27,"0,0",2017-12-27
2017-12-28,"0,0",2017-12-28
2017-12-30,"0,8572000000000001",2017-12-30
2017-12-31,"-0,296",2017-12-31
2018-01-02,"-0,4184",2018-01-02
2018-01-03,"-0,5097999999999999",2018-01-03
2018-01-04,"0,0",2018-01-04
2018-01-05,"-0,8112",2018-01-05
2018-01-06,"0,3289",2018-01-06
2018-01-07,"-0,5983",2018-01-07
2018-01-08,"-0,23289999999999994",2018-01-08
2018-01-09,"-0,296",2018-01-09
2018-01-10,"-0,3603",2018-01-10
2018-01-11,"0,0",2018-01-11
2018-01-12,"-0,5267",2018-01-12
2018-01-13,"-1,1131",2018-01-13
2018-01-14,"-0,592",2018-01-14
2018-01-15,"-0,296",2018-01-15
2018-01-16,"-0,24439999999999998",2018-01-16
2018-01-17,"0,26489999999999997",2018-01-17
2018-01-18,"0,4003",2018-01-18
2018-01-19,"-0,17720000000000002",2018-01-19
2018-01-20,"-0,8533999999999999",2018-01-20
2018-01-21,"0,0",2018-01-21
2018-01-22,"-0,6715",2018-01-22
2018-01-23,"-0,06789999999999996",2018-01-23
2018-01-24,"0,0",2018-01-24
2018-01-25,"0,0",2018-01-25
2018-01-26,"-0,6249",2018-01-26
2018-01-27,"-0,061899999999999955",2018-01-27
2018-01-28,"0,34",2018-01-28
2018-01-29,"-0,592",2018-01-29
2018-01-30,"0,0",2018-01-30
2018-01-31,"-0,7252",2018-01-31
2018-02-01,"-0,24439999999999998",2018-02-01
2018-02-02,"-0,8669",2018-02-02
2018-02-03,"-0,516",2018-02-03
2018-02-04,"-0,296",2018-02-04
