"all_hashtags","Freq"
"seguridadalimentaria",9
"Semanasantazgz",9
"serveicomunitari",9
"SevillalaNueva",9
"shop",9
"somoscinefilos",9
"SOS",9
"sostenibilidad",9
"supermarket",9
"Supermercados",9
"SweetCaliforniaConTonyEnCCME",9
"Taxi",9
"Telde",9
"Teruel",9
"Torrecat",9
"Torrejon",9
"TorrejóndeArdoz",9
"travel",9
"travelcostaadeje",9
"ux",9
"valdebebas",9
"Valdebebas",9
"valdebebitos_laescuelafeliz",9
"VamosUnicaja",9
"VE",9
"vegadona",9
"vegana",9
"Venezuela",9
"Vicalvaro",9
"video",9
"viernes",9
"villatenerife",9
"ViscaSantAntoni",9
"VuelvenLosGipsy",9
"web",9
"wtf",9
"YoNoPuedoQuedarmeEnCasa",9
"YouTube",9
"AlmaMeco",8
"awesome",8
"Bonatarda",8
"design",8
"FirstDates30M",8
"fruta",8
"hacendaño",8
"halamadridhijosdeputa",8
"huelgatransportes",8
"ILOVERUFETE",8
"MercadonaTeRoba",8
"offices",8
"oficinas",8
"orgulloceliaco",8
"PAC",8
"ProducteDelsPaïsosCatalans",8
"ReinoDeEspaña",8
"relax",8
"sanse",8
"siemprecontigo",8
"Tarazona",8
"workplace",8
"workspace",8
"Aldi",7
"ayuda",7
"BrexitReality",7
"casa",7
"champagne",7
"chorizodonfaustino",7
"Cigales",7
"clientes",7
"coco",7
"Coco",7
"ComercioLocal",7
"Comida",7
"ComunidadValenciana",7
"consumidores",7
"croquetas",7
"dinero",7
"EmbutidoIberico",7
"Europa",7
"fitness",7
"formación",7
"goodmorning",7
"Guerra",7
"GuerraRusiaUcrania",7
"gyozas",7
"Humor",7
"Jaén",7
"juanroig",7
"lasaña",7
"Leganés",7
"LidlMN",7
"naranjas",7
"NOMERCADONA",7
"obras",7
"ofensivaCCOO",7
"Porriño",7
"precariedad",7
"pregunto",7
"realmadrid",7
"risas",7
"Risas",7
"Sanse",7
"sos",7
"starbucks",7
"StopBulos",7
"Torremolinos",7
"transfesa",7
"trend",7
"veganfood",7
"VehículoEléctrico",7
"videojuegos",7
"viral",7
"Yo",7
"21D",6
"23Octubre",6
"25aniversarioHumildad",6
"3chocolates",6
"4eso",6
"8M",6
"AbascalAlBanquillo",6
"ABCfinanzas",6
"ABCpersonas",6
"Abrera",6
"AbusoDePoder",6
"aceitedeoliva",6
"acoruña",6
"ACoruña",6
"actorslife",6
"ADE",6
"ADEemprendedores",6
"agricultores",6
"agricultura",6
"ahorradinero",6
"Ahorro",6
"Albacete",6
"Alcampo",6
"algeciras",6
"alicante",6
"AliExpressMN",6
"Alimentacion",6
"alimentacionsana",6
"alimerka",6
"Almería",6
"almuerzo",6
"Altafulla",6
"AltEmpordà",6
"AmancioOrtega",6
"amanteabañosmercadona",6
"AnaRosaHáblanosDeVillarejo",6
"aove",6
"AplausosSanitarios",6
"apocalipsis",6
"apocalipsisnow",6
"aramateix",6
"artdengroundmoviment",6
"asegurandooportunidades",6
"AsiNo",6
"asot",6
"autumn",6
"Avena",6
"Ávila",6
"AVISO",6
"ayuntamientodeoviedo",6
"bacalao",6
"Balaguer",6
"banquetos",6
"BastaYa",6
"batido",6
"bayas",6
"Bcn",6
"Beer",6
"beerlover",6
"belenesteban",6
"BenidormTeEspera",6
"BigData",6
"bigfan",6
"bikelane",6
"bikelanefail",6
"bizkaia",6
"boicot",6
"boicotcasatarradellas",6
"BoicotMERCADONA",6
"boicotproductoscatalanes",6
"bonsalvador",6
"brandOCEAN",6
"brexit",6
"BTS",6
"BTSComeToSpain",6
"Buenosdias",6
"Cabify",6
"CabodePalos",6
"CabreraDeMar",6
"cajadegorjuss",6
"cajeros",6
"canviclimàtic",6
"CanYaman",6
"CapitalismoConsciente",6
"careonsafety",6
"carmina",6
"CarneSinFraude",6
"CarpaCiudadana",6
"casareal",6
"CasoNoos",6
"CatalanReferendum",6
"cataluña",6
"cava",6
"celiacos",6
"celiaquia",6
"cerdo",6
"cereales",6
"Cerveza",6
"cervezacontequila",6
"CestaDeLaCompra",6
"champu",6
"chiclessinazucar",6
"chips",6
"Cifuentes",6
"cinefilos",6
"Ciudadanos",6
"ClimateCrisis",6
"clouds",6
"cocina",6
"cocineradomestica",6
"coeliac",6
"CofradiasMLG",6
"colaboración",6
"colorfix",6
"comidas",6
"compraresponsable",6
"comprometidos",6
"conelcaféNO",6
"confirmed",6
"conlosmásvulnerables",6
"ConsciousBusiness",6
"consum",6
"Consumo",6
"cornella",6
"coronavirusespaña",6
"CoronavirusEspaña",6
"correccióndecolor",6
"corteingles",6
"Coruna",6
"Corvid19",6
"cosmetica",6
"CremaDeAvellana",6
"crisis",6
"Cuarentenadel20",6
"Cuéllar",6
"cuidado",6
"cuidarsedespuesdelos40",6
"CulturaDelEsfuerzo",6
"curry",6
"d810",6
"DebenMejorar",6
"Decathlon",6
"DeEstoSiHay",6
"DesarmaElMachismo",6
"Descarbonízate",6
"DiaInternacionalDeLaMujer",6
"digitalizacion",6
"DigitalTransformation",6
"dimensiones",6
"dinerogratis",6
"directivos",6
"doblaje",6
"dondeestas",6
"donuts",6
"DosHermanas",6
"dslr",6
"dubbing",6
"Dulcenombrezgz",6
